EcoCar Motors Log
16:26:9
millis, motor1 Speed, motor2 Speed, motor1 Current, motor2 Current, Buck DCDC Voltage, Power, Direction, Cruise
18150,0,0,61,5101,36,false,false,false

18181,0,0,61,5101,36,false,false,false

18212,0,0,61,5101,36,false,false,false

18241,0,0,61,5101,36,false,false,false

18269,0,0,61,5101,36,false,false,false

18296,0,0,61,5101,36,false,false,false

18328,0,0,61,5101,36,false,false,false

18362,0,0,61,5101,36,false,false,false

18385,0,0,61,5101,36,false,false,false

18410,0,0,61,5101,36,false,false,false

18434,0,0,61,5101,36,false,false,false

18459,0,0,61,5101,36,false,false,false

18482,0,0,61,5101,36,false,false,false

18507,0,0,61,5101,36,false,false,false

18534,0,0,61,5101,36,false,false,false

18559,0,0,61,5101,36,false,false,false

18583,0,0,61,5101,36,false,false,false

18608,0,0,61,5101,36,false,false,false

18685,0,0,61,5101,36,false,false,false

18711,0,0,61,5101,36,false,false,false

18734,0,0,61,5101,36,false,false,false

18763,0,0,61,5101,36,false,false,false

18793,0,0,61,5101,36,false,false,false

18821,0,0,61,5101,36,false,false,false

18851,0,0,61,5101,36,false,false,false

18878,0,0,61,5101,36,false,false,false

18910,0,0,61,5101,36,false,false,false

18937,0,0,61,5101,36,false,false,false

18968,0,0,61,5101,36,false,false,false

18992,0,0,61,5101,36,false,false,false

19013,0,0,61,5101,36,false,false,false

19033,0,0,61,5101,36,false,false,false

19057,0,0,61,5101,36,false,false,false

19081,0,0,61,5101,36,false,false,false

19104,0,0,61,5101,36,false,false,false

19127,0,0,61,5101,36,false,false,false

19151,0,0,61,5101,36,false,false,false

19173,0,0,61,5101,36,false,false,false

19195,0,0,61,5101,36,false,false,false

19221,0,0,61,5101,36,false,false,false

19246,0,0,61,5101,36,false,false,false

19271,0,0,61,5101,36,false,false,false

19296,0,0,61,5101,36,false,false,false

19321,0,0,61,5101,36,false,false,false

19344,0,0,61,5101,36,false,false,false

19365,0,0,61,5101,36,false,false,false

19387,0,0,61,5101,36,false,false,false

19410,0,0,61,5101,36,false,false,false

19433,0,0,61,5101,36,false,false,false

19460,0,0,61,5101,36,false,false,false

19483,0,0,61,5101,36,false,false,false

19510,0,0,61,5101,36,false,false,false

19538,0,0,61,5101,36,false,false,false

19565,0,0,61,5101,36,false,false,false

19588,0,0,61,5101,36,false,false,false

19611,0,0,61,5101,36,false,false,false

19635,0,0,61,5101,36,false,false,false

19654,0,0,61,5101,36,false,false,false

19675,0,0,61,5101,36,false,false,false

19695,0,0,61,5101,36,false,false,false

19718,0,0,61,5101,0,false,false,false

19738,0,0,61,5101,25,false,false,false

19759,0,0,61,5101,36,false,false,false

19780,0,0,61,5101,36,false,false,false

19801,0,0,61,5101,36,false,false,false

19821,0,0,61,5101,36,false,false,false

19844,0,0,61,5101,36,false,false,false

19866,0,0,61,5101,36,false,false,false

19886,0,0,65535,5101,36,false,false,false

19909,0,0,255,5101,36,false,false,false

19931,0,0,60,5101,36,false,false,false

19954,0,0,60,5101,36,false,false,false

19977,0,0,60,60,36,false,false,false

20000,0,0,60,4924,36,false,false,false

20023,0,0,60,5097,36,false,false,false

20049,0,0,60,5097,36,false,false,false

20071,5097,0,60,5097,36,false,false,false

20092,233,0,60,5097,36,false,false,false

20117,0,0,60,5097,36,false,false,false

20140,0,0,60,5097,36,false,false,false

20165,0,0,60,5097,36,false,false,false

20188,0,0,60,5097,36,false,false,false

20209,0,0,60,5097,36,false,false,false

20227,0,0,60,5097,36,false,false,false

20245,0,0,60,5097,36,false,false,false

20264,0,0,60,5097,36,false,false,false

20281,0,0,60,5097,36,false,false,false

20300,0,0,60,5097,36,false,false,false

20324,0,0,60,5097,36,false,false,false

20345,0,0,60,5097,36,false,false,false

20362,0,0,60,5097,36,false,false,false

20380,0,0,60,5097,36,false,false,false

20400,0,0,60,5097,36,false,false,false

20420,0,0,60,5097,36,false,false,false

20440,0,0,60,5097,36,false,false,false

20460,0,0,60,5097,36,false,false,false

20479,0,0,60,5097,36,false,false,false

20497,0,0,60,5097,36,false,false,false

20515,0,0,60,5097,36,false,false,false

20533,0,0,60,5097,36,false,false,false

20550,0,0,60,5097,36,false,false,false

20571,0,0,60,5097,36,false,false,false

20594,0,0,60,5097,36,false,false,false

20617,0,0,60,5097,36,false,false,false

20639,0,0,60,5097,36,false,false,false

20661,0,0,60,5097,36,false,false,false

20685,0,0,60,5097,36,false,false,false

20711,0,0,60,5097,36,false,false,false

20734,0,0,60,5097,36,false,false,false

20754,0,0,60,5097,36,false,false,false

20777,0,0,60,5097,36,false,false,false

20797,0,0,60,5097,36,false,false,false

20820,0,0,60,5097,36,false,false,false

20843,0,0,60,5097,36,false,false,false

20864,0,0,60,5097,36,false,false,false

20885,0,0,60,5097,36,false,false,false

20906,0,0,60,5097,36,false,false,false

20925,0,0,60,5097,36,false,false,false

20943,0,0,60,5097,36,false,false,false

20968,0,0,60,5097,36,false,false,false

20986,0,0,60,5097,36,false,false,false

21006,0,0,60,5097,36,false,false,false

21027,0,0,60,5097,36,false,false,false

21047,0,0,60,5097,36,false,false,false

21065,0,0,60,5097,36,false,false,false

21084,0,0,60,5097,36,false,false,false

21102,0,0,60,5097,36,false,false,false

21123,0,0,60,5097,36,false,false,false

21147,0,0,60,5097,36,false,false,false

21172,0,0,60,5097,36,false,false,false

21196,0,0,60,5097,36,false,false,false

21223,0,0,60,5097,36,false,false,false

21244,0,0,60,5097,36,false,false,false

21264,0,0,60,5097,36,false,false,false

21289,0,0,60,5097,36,false,false,false

21311,0,0,60,5097,36,false,false,false

21332,0,0,60,5097,36,false,false,false

21351,0,0,60,5097,36,false,false,false

21370,0,0,60,5097,36,false,false,false

21390,0,0,60,5097,36,false,false,false

21409,0,0,60,5097,36,false,false,false

21425,0,0,60,5097,36,false,false,false

21444,0,0,60,5097,36,false,false,false

21462,0,0,60,5097,36,false,false,false

21481,0,0,60,5097,0,false,false,false

21503,0,0,60,5097,25,false,false,false

21524,0,0,60,5097,35,false,false,false

21545,0,0,60,5097,35,false,false,false

21564,0,0,60,5097,35,false,false,false

21582,0,0,60,5097,35,false,false,false

21601,0,0,60,5097,35,false,false,false

21618,0,0,60,5097,35,false,false,false

21635,0,0,65535,5097,35,false,false,false

21652,0,0,255,5097,35,false,false,false

21669,0,0,60,5097,35,false,false,false

21690,0,0,60,5097,35,false,false,false

21709,0,0,60,60,35,false,false,false

21726,0,0,60,4924,35,false,false,false

21748,0,0,60,5099,35,false,false,false

21768,0,0,60,5099,35,false,false,false

21790,5099,0,60,5099,35,false,false,false

21811,235,0,60,5099,35,false,false,false

21829,0,0,60,5099,35,false,false,false

21846,0,0,60,5099,35,false,false,false

21866,0,0,60,5099,35,false,false,false

21884,0,0,60,5099,35,false,false,false

21902,0,0,60,5099,35,false,false,false

21920,0,0,60,5099,35,false,false,false

21937,0,0,60,5099,35,false,false,false

21957,0,0,60,5099,35,false,false,false

21975,0,0,60,5099,35,false,false,false

21995,0,0,60,5099,35,false,false,false

22010,0,0,60,5099,35,false,false,false

22025,0,0,60,5099,35,false,false,false

22040,0,0,60,5099,35,false,false,false

22055,0,0,60,5099,35,false,false,false

22070,0,0,60,5099,35,false,false,false

22086,0,0,60,5099,35,false,false,false

22103,0,0,60,5099,35,false,false,false

22118,0,0,60,5099,35,false,false,false

22137,0,0,60,5099,35,false,false,false

22156,0,0,60,5099,35,false,false,false

22173,0,0,60,5099,35,false,false,false

22191,0,0,60,5099,35,false,false,false

22208,0,0,60,5099,35,false,false,false

22227,0,0,60,5099,35,false,false,false

22243,0,0,60,5099,35,false,false,false

22261,0,0,60,5099,35,false,false,false

22280,0,0,60,5099,35,false,false,false

22298,0,0,60,5099,35,false,false,false

22319,0,0,60,5099,35,false,false,false

22339,0,0,60,5099,35,false,false,false

22356,0,0,60,5099,35,false,false,false

22375,0,0,60,5099,35,false,false,false

22393,0,0,60,5099,35,false,false,false

22410,0,0,60,5099,35,false,false,false

22429,0,0,60,5099,35,false,false,false

22446,0,0,60,5099,35,false,false,false

22466,0,0,60,5099,35,false,false,false

22485,0,0,60,5099,35,false,false,false

22503,0,0,60,5099,35,false,false,false

22523,0,0,60,5099,35,false,false,false

22541,0,0,60,5099,35,false,false,false

22557,0,0,60,5099,35,false,false,false

22573,0,0,60,5099,35,false,false,false

22593,0,0,60,5099,35,false,false,false

22614,0,0,60,5099,35,false,false,false

22634,0,0,60,5099,35,false,false,false

22652,0,0,60,5099,35,false,false,false

22669,0,0,60,5099,35,false,false,false

22688,0,0,60,5099,35,false,false,false

22708,0,0,60,5099,35,false,false,false

22728,0,0,60,5099,35,false,false,false

22745,0,0,60,5099,35,false,false,false

22764,0,0,60,5099,35,false,false,false

22783,0,0,60,5099,35,false,false,false

22802,0,0,60,5099,35,false,false,false

22820,0,0,60,5099,35,false,false,false

22838,0,0,60,5099,35,false,false,false

22858,0,0,60,5099,35,false,false,false

22875,0,0,60,5099,35,false,false,false

22895,0,0,60,5099,35,false,false,false

22916,0,0,60,5099,35,false,false,false

22935,0,0,60,5099,35,false,false,false

22954,0,0,60,5099,35,false,false,false

22975,0,0,60,5099,35,false,false,false

22995,0,0,60,5099,35,false,false,false

23015,0,0,60,5099,35,false,false,false

23036,0,0,60,5099,0,false,false,false

23056,0,0,60,5099,25,false,false,false

23074,0,0,60,5099,36,false,false,false

23092,0,0,60,5099,36,false,false,false

23110,0,0,60,5099,36,false,false,false

23128,0,0,60,5099,36,false,false,false

23148,0,0,60,5099,36,false,false,false

23165,0,0,60,5099,36,false,false,false

23184,0,0,65535,5099,36,false,false,false

23202,0,0,255,5099,36,false,false,false

23220,0,0,60,5099,36,false,false,false

23237,0,0,60,5099,36,false,false,false

23255,0,0,60,60,36,false,false,false

23274,0,0,60,4924,36,false,false,false

23291,0,0,60,5098,36,false,false,false

23309,0,0,60,5098,36,false,false,false

23326,5098,0,60,5098,36,false,false,false

23342,234,0,60,5098,36,false,false,false

23361,0,0,60,5098,36,false,false,false

23375,0,0,60,5098,36,false,false,false

23393,0,0,60,5098,36,false,false,false

23409,0,0,60,5098,36,false,false,false

23424,0,0,60,5098,36,false,false,false

23440,0,0,60,5098,36,false,false,false

23459,0,0,60,5098,36,false,false,false

23477,0,0,60,5098,36,false,false,false

23493,0,0,60,5098,36,false,false,false

23512,0,0,60,5098,36,false,false,false

23534,0,0,60,5098,36,false,false,false

23552,0,0,60,5098,36,false,false,false

23571,0,0,60,5098,36,false,false,false

23590,0,0,60,5098,36,false,false,false

23608,0,0,60,5098,36,false,false,false

23623,0,0,60,5098,36,false,false,false

23637,0,0,60,5098,36,false,false,false

23651,0,0,60,5098,36,false,false,false

23669,0,0,60,5098,36,false,false,false

23683,0,0,60,5098,36,false,false,false

23697,0,0,60,5098,36,false,false,false

23718,0,0,60,5098,36,false,false,false

23732,0,0,60,5098,36,false,false,false

23748,0,0,60,5098,36,false,false,false

23765,0,0,60,5098,36,false,false,false

23779,0,0,60,5098,36,false,false,false

23795,0,0,60,5098,36,false,false,false

23809,0,0,60,5098,36,false,false,false

23863,0,0,60,5098,36,false,false,false

23879,0,0,60,5098,36,false,false,false

23895,0,0,60,5098,36,false,false,false

23912,0,0,60,5098,36,false,false,false

23928,0,0,60,5098,36,false,false,false

23945,0,0,60,5098,36,false,false,false

23964,0,0,60,5098,36,false,false,false

23982,0,0,60,5098,36,false,false,false

24000,0,0,60,5098,36,false,false,false

